Restaurant_Name,Cuisine,Price_for_1,Location,Rating
JUST CREAMERY - Healthy Ice Cream,healthy food,200,malleshwaram,20
JUST CREAMERY - Healthy Ice Cream,keto,200,malleshwaram,20
Old Madras Baking Company,bakery,450,st-marks-road,20
Old Madras Baking Company,desserts,450,st-marks-road,20
BHAGATRAM SWEETS,sweets,300,ulsoor,1000
BHAGATRAM SWEETS,indian,300,ulsoor,1000
BHAGATRAM SWEETS,south indian,300,ulsoor,1000
BHAGATRAM SWEETS,north indian,300,ulsoor,1000
BHAGATRAM SWEETS,beverages,300,ulsoor,1000
Udta Punjab Cafe,north indian,150,shanti-nagar,100
Lo! - Low Carb and Keto Foods,healthy food,150,indiranagar,1000
Lo! - Low Carb and Keto Foods,keto,150,indiranagar,1000
Lo! - Low Carb and Keto Foods,north indian,150,indiranagar,1000
Lo! - Low Carb and Keto Foods,continental,150,indiranagar,1000
UTTARA KARNATAKA JOLADA ROTTI ANGADI,snacks,100,banashankari,1000
UTTARA KARNATAKA JOLADA ROTTI ANGADI,sweets,100,banashankari,1000
UTTARA KARNATAKA JOLADA ROTTI ANGADI,south indian,100,banashankari,1000
CHETTINAD FOOD HOUSE,indian,200,layout,1000
Hotel Udupi Ruchi,south indian,300,rajajinagar,10000
Hotel Udupi Ruchi,chinese,300,rajajinagar,10000
Hotel Udupi Ruchi,desserts,300,rajajinagar,10000
Hotel Udupi Ruchi,north indian,300,rajajinagar,10000
Ayodhya vihar,chinese,250,bima-nagar,5000
Ayodhya vihar,south indian,250,bima-nagar,5000
Ayodhya vihar,north indian,250,bima-nagar,5000
Ayodhya vihar,desserts,250,bima-nagar,5000
Chapati Factory,chinese,99,jp-nagar,500
Chapati Factory,south indian,99,jp-nagar,500
Chapati Factory,indian,99,jp-nagar,500
Aubree,desserts,700,shivajinagar,100
Aubree,bakery,700,shivajinagar,100
Dad's Hack Kombucha,beverages,398,indiranagar,20
The Brahmins Khanavali,south indian,200,st-marks-road,1000
Happy Belly Bakes- Cakes and Desserts,desserts,500,town,5000
Happy Belly Bakes- Cakes and Desserts,bakery,500,town,5000
Happy Belly Bakes- Cakes and Desserts,snacks,500,town,5000
Happy Belly Bakes- Cakes and Desserts,keto,500,town,5000
Happy Belly Bakes- Cakes and Desserts,beverages,500,town,5000
Dhaba Co.,north indian,650,ashok-nagar,50
Myfroyoland - Premium Frozen Yogurt,desserts,400,seshadripuram,20
Myfroyoland - Premium Frozen Yogurt,ice cream,400,seshadripuram,20
Myfroyoland - Premium Frozen Yogurt,keto,400,seshadripuram,20
Pablo's By Living Food,indian,250,indiranagar,100
Pablo's By Living Food,pizzas,250,indiranagar,100
MELANGE BY ASHA SWEET CENTER,bakery,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,fast food,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,cafe,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,burgers,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,pizzas,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,pastas,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,juices,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,sweets,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,snacks,120,malleshwaram,500
MELANGE BY ASHA SWEET CENTER,desser...,120,malleshwaram,500
Shree Taaza Thindi,south indian,150,indiranagar,1000
Shree Taaza Thindi,snacks,150,indiranagar,1000
Kolkata Foods,north indian,250,bommanahalli,100
Kolkata Foods,chinese,250,bommanahalli,100
Kolkata Foods,tandoor,250,bommanahalli,100
Kolkata Foods,bengali,250,bommanahalli,100
"New Holige Mane	",indian,150,jayanagar,20
New South Corner,south indian,250,layout,1000
New South Corner,north indian,250,layout,1000
New South Corner,chinese,250,layout,1000
DVG Benne Dosa,south indian,100,domlur,5000
Sri Maruthi Miltry Hotel,biryani,250,rajajinagar,5000
Sri Maruthi Miltry Hotel,south indian,250,rajajinagar,5000
Santa banta ke parathey,indian,110,bel-road,20
Santa banta ke parathey,chinese,110,bel-road,20
Santa banta ke parathey,beverages,110,bel-road,20
Santa banta ke parathey,snacks,110,bel-road,20
New Kairali Restaurant,kerala,355,kammanahalli,1000
New Kairali Restaurant,seafood,355,kammanahalli,1000
LAKSHMI SARASWATHI SWEETS,sweets,250,wilson-garden,10
LAKSHMI SARASWATHI SWEETS,beverages,250,wilson-garden,10
LAKSHMI SARASWATHI SWEETS,indian,250,wilson-garden,10
Loca Moca,fast food,250,town,0
Loca Moca,cafe,250,town,0
Loca Moca,beverages,250,town,0
Loca Moca,pizzas,250,town,0
Loca Moca,pastas,250,town,0
Loca Moca,ice cream,250,town,0
Loca Moca,burgers,250,town,0
Shahi Family Restaurant,seafood,299,ulsoor,1000
Shahi Family Restaurant,tandoor,299,ulsoor,1000
Shahi Family Restaurant,chinese,299,ulsoor,1000
Shahi Family Restaurant,north indian,299,ulsoor,1000
Shahi Family Restaurant,south indian,299,ulsoor,1000
Pure Veg Meals by Lunchbox,north indian,200,vasanth-nagar,100
Pure Veg Meals by Lunchbox,desserts,200,vasanth-nagar,100
Pure Veg Meals by Lunchbox,biryani,200,vasanth-nagar,100
TIPSY LASSI SHOP,desserts,250,central,50
TIPSY LASSI SHOP,ice cream,250,central,50
TIPSY LASSI SHOP,beverages,250,central,50
TIPSY LASSI SHOP,juices,250,central,50
Karachi Bakery,bakery,400,indiranagar,1000
Karachi Bakery,pizzas,400,indiranagar,1000
Karachi Bakery,chinese,400,indiranagar,1000
Karachi Bakery,italian,400,indiranagar,1000
Karachi Bakery,american,400,indiranagar,1000
Karachi Bakery,sweets,400,indiranagar,1000
Karachi Bakery,desserts,400,indiranagar,1000
Karachi Bakery,beverages,400,indiranagar,1000
Nuage,continental,800,indiranagar,100
Nuage,desserts,800,indiranagar,100
Ramji Chaiwale,fast food,100,ashok-nagar,1000
Ramji Chaiwale,punjabi,100,ashok-nagar,1000
Ramji Chaiwale,desserts,100,ashok-nagar,1000
COAL FLAME BIRIYAANI,mughlai,400,jayanagar,100
COAL FLAME BIRIYAANI,indian,400,jayanagar,100
COAL FLAME BIRIYAANI,biryani,400,jayanagar,100
COAL FLAME BIRIYAANI,combo,400,jayanagar,100
COAL FLAME BIRIYAANI,andhra,400,jayanagar,100
COAL FLAME BIRIYAANI,beverages,400,jayanagar,100
COAL FLAME BIRIYAANI,kebabs,400,jayanagar,100
COAL FLAME BIRIYAANI,sweets,400,jayanagar,100
COAL FLAME BIRIYAANI,hyderabadi,400,jayanagar,100
COAL FLAME BIRIYAANI,...,400,jayanagar,100
Kamat Hotel,south indian,200,basavanagudi,10
Hotel Chandrika,south indian,300,vasanth-nagar,10000
Hotel Chandrika,north indian,300,vasanth-nagar,10000
Hotel Chandrika,chinese,300,vasanth-nagar,10000
Hotel Chandrika,juices,300,vasanth-nagar,10000
Hotel Chandrika,chaat,300,vasanth-nagar,10000
Hotel Chandrika,ice cream,300,vasanth-nagar,10000
Richie Rich,desserts,500,course-road,10000
Richie Rich,snacks,500,course-road,10000
Richie Rich,chaat,500,course-road,10000
Richie Rich,ice cream,500,course-road,10000
Polar Bear Ice Cream Sundaes,ice cream,350,town,1000
Polar Bear Ice Cream Sundaes,desserts,350,town,1000
LunchBox - Meals and Thalis,north indian,200,shantinagar,500
LunchBox - Meals and Thalis,chinese,200,shantinagar,500
LunchBox - Meals and Thalis,desserts,200,shantinagar,500
LunchBox - Meals and Thalis,biryani,200,shantinagar,500
Thottathil Restaurant,south indian,200,layout,10000
Garam Chai Xpress,beverages,100,banashankari,20
Garam Chai Xpress,indian,100,banashankari,20
Garam Chai Xpress,snacks,100,banashankari,20
NOTO - Healthy Ice Cream,desserts,250,central,100
NOTO - Healthy Ice Cream,ice cream,250,central,100
Cafe Reset,cafe,350,koramangala,20
Cafe Reset,beverages,350,koramangala,20
Cafe Reset,italian,350,koramangala,20
Cafe Reset,continental,350,koramangala,20
Cafe Reset,salads,350,koramangala,20
Cafe Reset,snacks,350,koramangala,20
Cafe Reset,juices,350,koramangala,20
Dosa Idli Corner,south indian,150,domlur,10
A1 Chips,snacks,250,indiranagar,500
A1 Chips,sweets,250,indiranagar,500
Cupcake Bliss Cake & Desserts,bakery,200,vasanth-nagar,20
Cupcake Bliss Cake & Desserts,desserts,200,vasanth-nagar,20
